# Ahrens, Nuclear Physics, Section A, volume 446, page 229C, 1985
9.63 MeV	7.749 mb	4.887 mb
9.90 MeV	5.346 mb	1.91 mb
10.25 MeV	3.402 mb	1.909 mb
10.54 MeV	2.118 mb	1.561 mb
10.84 MeV	3.51 mb	1.488 mb
11.17 MeV	3.213 mb	1.629 mb
11.51 MeV	1.894 mb	1.325 mb
11.80 MeV	0.967 mb	1.865 mb
12.11 MeV	3.402 mb	1.522 mb
12.48 MeV	4.806 mb	1.293 mb
12.85 MeV	2.495 mb	1.422 mb
13.25 MeV	3.483 mb	1.365 mb
13.63 MeV	4.914 mb	1.412 mb
14.04 MeV	5.535 mb	1.392 mb
14.51 MeV	6.642 mb	1.287 mb
14.90 MeV	8.262 mb	1.504 mb
15.36 MeV	9.477 mb	1.261 mb
15.84 MeV	13.014 mb	1.343 mb
16.32 MeV	15.687 mb	1.299 mb
16.80 MeV	17.874 mb	1.282 mb
17.31 MeV	19.413 mb	1.379 mb
17.84 MeV	23.598 mb	1.304 mb
18.39 MeV	30.24 mb	1.364 mb
18.95 MeV	29.97 mb	1.296 mb
19.52 MeV	33.75 mb	1.307 mb
20.07 MeV	37.8 mb	1.526 mb
20.68 MeV	40.77 mb	1.488 mb
21.34 MeV	39.69 mb	1.759 mb
21.97 MeV	38.61 mb	1.706 mb
22.66 MeV	30.78 mb	1.579 mb
23.34 MeV	27.27 mb	1.476 mb
24.07 MeV	23.166 mb	1.513 mb
24.83 MeV	21.681 mb	1.42 mb
25.44 MeV	21.384 mb	1.751 mb
26.25 MeV	18.225 mb	1.268 mb
27.07 MeV	17.01 mb	1.168 mb
27.90 MeV	16.551 mb	1.221 mb
28.62 MeV	14.067 mb	1.3 mb
29.44 MeV	14.931 mb	0.908 mb
30.39 MeV	15.552 mb	1.189 mb
31.20 MeV	15.147 mb	0.961 mb
32.13 MeV	14.769 mb	0.976 mb
33.11 MeV	14.283 mb	1.03 mb
34.11 MeV	13.311 mb	0.946 mb
35.12 MeV	12.123 mb	0.991 mb
36.18 MeV	9.45 mb	1.005 mb
37.26 MeV	10.152 mb	0.952 mb
38.43 MeV	10.287 mb	1.031 mb
39.56 MeV	9.396 mb	1.053 mb
40.77 MeV	9.882 mb	1.083 mb
42.00 MeV	6.939 mb	1.117 mb
43.24 MeV	8.721 mb	1.123 mb
44.56 MeV	6.75 mb	1.074 mb
45.96 MeV	6.534 mb	1.172 mb
47.27 MeV	5.4 mb	1.263 mb
48.69 MeV	3.618 mb	1.126 mb
50.09 MeV	3.699 mb	1.038 mb
51.66 MeV	2.141 mb	0.963 mb
53.39 MeV	5.103 mb	0.815 mb
55.03 MeV	5.184 mb	0.77 mb
56.63 MeV	5.373 mb	0.777 mb
58.31 MeV	4.374 mb	0.699 mb
60.11 MeV	3.564 mb	0.683 mb
61.92 MeV	4.455 mb	0.734 mb
63.76 MeV	3.699 mb	0.671 mb
65.67 MeV	4.131 mb	0.711 mb
67.74 MeV	3.699 mb	0.724 mb
69.73 MeV	2.577 mb	0.682 mb
71.87 MeV	1.430 mb	0.724 mb
74.02 MeV	4.185 mb	0.671 mb
76.24 MeV	3.294 mb	0.721 mb
78.59 MeV	3.996 mb	0.683 mb
80.56 MeV	2.552 mb	0.855 mb
83.08 MeV	2.916 mb	0.6 mb
85.89 MeV	2.582 mb	0.696 mb
88.51 MeV	1.707 mb	0.68 mb
90.70 MeV	3.024 mb	0.844 mb
93.12 MeV	2.916 mb	0.673 mb
95.90 MeV	0.907 mb	0.671 mb
98.80 MeV	1.1 mb	0.669 mb
101.80 MeV	2.178 mb	0.691 mb
104.77 MeV	0.987 mb	0.756 mb
107.99 MeV	1.768 mb	0.854 mb
111.36 MeV	1.189 mb	0.886 mb
