# Ishkhanov+, Moscow State Univ.Inst.of Nucl.Phys.Reports, number 2002-27/711, 2002
10.0 MeV	0.0 mb
10.2 MeV	3.0 mb
10.4 MeV	0.9 mb
10.6 MeV	2.5 mb
10.8 MeV	3.6 mb
11.0 MeV	-0.3 mb
11.2 MeV	2.0 mb
11.4 MeV	4.8 mb
11.6 MeV	-0.3 mb
11.8 MeV	2.4 mb
12.0 MeV	2.4 mb
12.2 MeV	5.0 mb
12.4 MeV	3.5 mb
12.6 MeV	4.0 mb
12.8 MeV	3.4 mb
13.0 MeV	2.8 mb
13.2 MeV	0.8 mb
13.4 MeV	6.1 mb
13.6 MeV	4.6 mb
13.8 MeV	4.4 mb
14.0 MeV	8.4 mb
14.2 MeV	1.5 mb
14.4 MeV	5.9 mb
14.6 MeV	5.9 mb
14.8 MeV	7.2 mb
15.0 MeV	8.4 mb
15.2 MeV	6.1 mb
15.4 MeV	10.8 mb
15.6 MeV	9.7 mb
15.8 MeV	14.3 mb
16.0 MeV	12.2 mb
16.2 MeV	13.3 mb
16.4 MeV	16.3 mb
16.6 MeV	16.4 mb
16.8 MeV	18.3 mb
17.0 MeV	18.7 mb
17.2 MeV	20.1 mb
17.4 MeV	17.4 mb
17.6 MeV	17.3 mb
17.8 MeV	20.2 mb
18.0 MeV	23.7 mb
18.2 MeV	25.3 mb
18.4 MeV	27.6 mb
18.6 MeV	30.3 mb
18.8 MeV	30.1 mb
19.0 MeV	31.2 mb
19.2 MeV	29.0 mb
19.4 MeV	33.0 mb
19.6 MeV	31.4 mb
19.8 MeV	36.2 mb
20.0 MeV	38.6 mb
20.2 MeV	37.6 mb
20.4 MeV	37.6 mb
20.6 MeV	40.3 mb
20.8 MeV	39.0 mb
21.0 MeV	41.2 mb
21.2 MeV	40.8 mb
21.4 MeV	42.6 mb
21.6 MeV	35.4 mb
21.8 MeV	43.5 mb
22.0 MeV	37.6 mb
22.2 MeV	37.2 mb
22.4 MeV	36.5 mb
22.6 MeV	36.1 mb
22.8 MeV	25.9 mb
23.0 MeV	27.1 mb
23.2 MeV	28.7 mb
23.4 MeV	23.3 mb
23.6 MeV	29.0 mb
23.8 MeV	24.5 mb
24.0 MeV	20.9 mb
24.2 MeV	23.5 mb
24.4 MeV	21.0 mb
24.6 MeV	24.9 mb
24.8 MeV	20.3 mb
25.0 MeV	21.0 mb
25.2 MeV	21.4 mb
25.4 MeV	20.7 mb
25.6 MeV	21.8 mb
25.8 MeV	19.5 mb
26.0 MeV	18.4 mb
26.2 MeV	20.8 mb
26.4 MeV	11.0 mb
26.6 MeV	17.9 mb
26.8 MeV	15.9 mb
27.0 MeV	14.7 mb
27.2 MeV	19.1 mb
27.4 MeV	18.7 mb
27.6 MeV	21.0 mb
27.8 MeV	19.3 mb
28.0 MeV	20.5 mb
28.2 MeV	19.4 mb
28.4 MeV	19.5 mb
28.6 MeV	12.7 mb
28.8 MeV	15.0 mb
29.0 MeV	20.1 mb
29.2 MeV	15.2 mb
29.4 MeV	14.2 mb
29.6 MeV	14.2 mb
29.8 MeV	11.7 mb
30.0 MeV	17.4 mb
30.2 MeV	12.9 mb
30.4 MeV	16.1 mb
30.6 MeV	14.1 mb
30.8 MeV	17.0 mb
31.0 MeV	10.0 mb
31.2 MeV	14.7 mb
31.4 MeV	16.2 mb
31.6 MeV	14.1 mb
31.8 MeV	14.0 mb
32.0 MeV	9.3 mb
32.2 MeV	14.0 mb
32.4 MeV	13.6 mb
32.6 MeV	13.6 mb
32.8 MeV	13.2 mb
33.0 MeV	7.7 mb
33.2 MeV	16.0 mb
33.4 MeV	14.5 mb
33.6 MeV	11.8 mb
33.8 MeV	15.0 mb
34.0 MeV	9.4 mb
34.2 MeV	10.2 mb
34.4 MeV	14.4 mb
34.6 MeV	9.4 mb
34.8 MeV	16.3 mb
35.0 MeV	13.4 mb
35.2 MeV	5.9 mb
35.4 MeV	10.1 mb
35.6 MeV	10.8 mb
35.8 MeV	10.9 mb
36.0 MeV	11.8 mb
36.2 MeV	8.2 mb
36.4 MeV	7.6 mb
36.6 MeV	8.3 mb
36.8 MeV	7.9 mb
37.0 MeV	6.5 mb
37.2 MeV	8.8 mb
37.4 MeV	11.6 mb
37.6 MeV	10.5 mb
37.8 MeV	9.1 mb
38.0 MeV	6.1 mb
38.2 MeV	5.1 mb
38.4 MeV	6.8 mb
38.6 MeV	6.8 mb
38.8 MeV	3.5 mb
39.0 MeV	9.3 mb
39.2 MeV	6.1 mb
39.4 MeV	8.0 mb
39.6 MeV	9.9 mb
39.8 MeV	12.5 mb
40.0 MeV	7.0 mb
