# Varlamov+, Bull.Russian Academy of Sciences - Physics, volume 67, page 724, 2003
16.3 MeV	5.1 mb
16.4 MeV	5.2 mb
16.5 MeV	5.4 mb
16.6 MeV	5.7 mb
16.7 MeV	6.0 mb
16.8 MeV	6.5 mb
16.9 MeV	7.0 mb
17.0 MeV	7.4 mb
17.1 MeV	7.6 mb
17.2 MeV	7.6 mb
17.3 MeV	7.6 mb
17.4 MeV	7.6 mb
17.5 MeV	7.6 mb
17.6 MeV	7.9 mb
17.7 MeV	8.3 mb
17.8 MeV	9.0 mb
17.9 MeV	9.9 mb
18.0 MeV	11.2 mb
18.1 MeV	12.8 mb
18.2 MeV	14.7 mb
18.3 MeV	16.8 mb
18.4 MeV	19.0 mb
18.5 MeV	21.3 mb
18.6 MeV	23.7 mb
18.7 MeV	26.1 mb
18.8 MeV	28.3 mb
18.9 MeV	30.2 mb
19.0 MeV	31.8 mb
19.1 MeV	32.6 mb
19.2 MeV	32.8 mb
19.3 MeV	32.2 mb
19.4 MeV	31.3 mb
19.5 MeV	30.4 mb
19.6 MeV	29.9 mb
19.7 MeV	29.9 mb
19.8 MeV	30.4 mb
19.9 MeV	31.0 mb
20.0 MeV	31.6 mb
20.1 MeV	32.0 mb
20.2 MeV	31.9 mb
20.3 MeV	31.6 mb
20.4 MeV	31.1 mb
20.5 MeV	30.4 mb
20.6 MeV	29.6 mb
20.7 MeV	28.6 mb
20.8 MeV	27.5 mb
20.9 MeV	26.2 mb
21.0 MeV	24.8 mb
21.1 MeV	23.5 mb
21.2 MeV	22.2 mb
21.3 MeV	21.1 mb
21.4 MeV	20.2 mb
21.5 MeV	19.6 mb
21.6 MeV	19.2 mb
21.7 MeV	19.0 mb
21.8 MeV	19.1 mb
21.9 MeV	19.4 mb
22.0 MeV	19.9 mb
22.1 MeV	20.5 mb
22.2 MeV	21.2 mb
22.3 MeV	21.7 mb
22.4 MeV	22.0 mb
22.5 MeV	22.1 mb
22.6 MeV	22.1 mb
22.7 MeV	22.0 mb
22.8 MeV	21.9 mb
22.9 MeV	21.8 mb
23.0 MeV	21.5 mb
23.1 MeV	21.2 mb
23.2 MeV	20.7 mb
23.3 MeV	20.2 mb
23.4 MeV	19.7 mb
23.5 MeV	19.4 mb
23.6 MeV	19.5 mb
23.7 MeV	19.9 mb
23.8 MeV	20.6 mb
23.9 MeV	21.4 mb
24.0 MeV	22.1 mb
24.1 MeV	22.5 mb
24.2 MeV	22.8 mb
24.3 MeV	23.1 mb
24.4 MeV	23.4 mb
24.5 MeV	23.8 mb
24.6 MeV	24.2 mb
24.7 MeV	24.6 mb
24.8 MeV	24.8 mb
24.9 MeV	24.9 mb
25.0 MeV	24.6 mb
25.1 MeV	24.1 mb
25.2 MeV	23.4 mb
25.3 MeV	22.6 mb
25.4 MeV	21.8 mb
25.5 MeV	21.0 mb
25.6 MeV	20.2 mb
25.7 MeV	19.4 mb
25.8 MeV	18.6 mb
25.9 MeV	17.8 mb
26.0 MeV	17.0 mb
26.1 MeV	16.1 mb
26.2 MeV	15.4 mb
26.3 MeV	14.6 mb
26.4 MeV	13.9 mb
26.5 MeV	13.3 mb
26.6 MeV	12.8 mb
26.7 MeV	12.4 mb
26.8 MeV	12.0 mb
26.9 MeV	11.6 mb
27.0 MeV	11.3 mb
27.1 MeV	10.9 mb
27.2 MeV	10.6 mb
27.3 MeV	10.3 mb
27.4 MeV	10.1 mb
27.5 MeV	10.0 mb
27.6 MeV	9.9 mb
27.7 MeV	9.8 mb
27.8 MeV	9.8 mb
27.9 MeV	9.7 mb
28.0 MeV	9.7 mb
28.1 MeV	9.6 mb
28.2 MeV	9.6 mb
